0,truck,0,1045,318,88,124
0,truck,1,912,302,81,114
0,car,0,759,297,64,63
0,car,1,1005,286,54,53
2,truck,0,1045,320,89,125
2,truck,1,913,303,81,115
2,car,0,758,299,64,63
2,car,1,1006,288,55,54
4,truck,0,1045,323,90,126
4,truck,1,913,305,81,115
4,car,0,757,300,65,64
4,car,1,1007,290,55,54
6,truck,0,1045,325,91,127
6,truck,1,914,306,82,116
6,car,0,756,302,65,64
6,car,1,1008,291,56,55
8,truck,0,1044,327,92,128
8,truck,1,915,307,82,117
8,car,0,755,303,65,64
8,car,1,1009,293,56,55
10,truck,0,1044,330,93,129
10,truck,1,916,309,82,118
10,car,0,754,305,66,65
10,car,1,1010,295,57,56
12,truck,0,1044,332,94,130
12,truck,1,916,310,82,118
12,car,0,753,306,66,65
12,car,1,1011,297,58,56
14,truck,0,1044,334,95,132
14,truck,1,917,311,83,119
14,car,0,752,308,66,65
14,car,1,1012,298,58,57
16,truck,0,1045,337,96,134
16,truck,1,918,313,83,120
16,car,0,751,309,67,66
16,car,1,1014,300,59,57
18,truck,0,1045,340,97,135
18,truck,1,919,314,83,121
18,car,0,750,311,67,66
18,car,1,1015,302,59,58
20,truck,0,1046,343,98,137
20,truck,1,919,315,83,121
20,car,0,749,312,67,66
20,car,1,1016,304,60,58
22,truck,0,1046,346,99,139
22,truck,1,920,317,83,122
22,car,0,748,314,68,67
22,car,1,1017,305,60,59
24,truck,0,1046,348,100,140
24,truck,1,921,318,84,123
24,car,0,747,315,68,67
24,car,1,1018,307,61,59
26,truck,0,1047,351,101,142
26,truck,1,922,319,84,124
26,car,0,746,317,68,67
26,car,1,1019,309,62,60
28,truck,0,1047,354,102,144
28,truck,1,922,321,84,124
28,car,0,745,318,69,68
28,car,1,1020,311,62,60
28,car,2,903,270,61,63
30,truck,0,1048,357,103,145
30,truck,1,923,323,85,125
30,car,0,744,320,69,68
30,car,1,1021,312,63,61
30,car,2,903,272,62,64
32,truck,0,1048,360,104,147
32,truck,1,924,325,85,126
32,car,0,743,322,70,68
32,car,1,1022,314,63,61
32,car,2,903,274,62,64
34,truck,0,1049,362,104,149
34,truck,1,924,326,86,127
34,car,0,742,324,70,69
34,car,1,1023,316,64,62
34,car,2,903,275,63,65
36,truck,0,1049,365,105,151
36,truck,1,925,328,86,128
36,car,0,742,325,71,69
36,car,1,1024,318,65,62
36,car,2,904,277,63,66
38,truck,0,1050,368,106,152
38,truck,1,925,330,87,129
38,car,0,741,327,71,69
38,car,1,1025,319,65,63
38,car,2,904,279,64,66
40,truck,0,1050,371,107,154
40,truck,1,926,332,87,130
40,car,0,740,329,72,69
40,car,1,1026,321,66,63
40,car,2,904,280,64,67
42,truck,0,1051,374,108,156
42,truck,1,927,334,88,131
42,car,0,739,331,72,70
42,car,1,1027,323,66,64
42,car,2,904,282,65,67
44,truck,0,1051,376,109,157
44,truck,1,927,336,88,132
44,car,0,738,332,73,70
44,car,1,1029,325,67,64
44,car,2,904,284,65,68
46,truck,0,1051,379,110,159
46,truck,1,928,338,89,133
46,car,0,737,334,73,70
46,car,1,1030,326,67,65
46,car,2,904,285,66,68
48,truck,0,1052,382,111,161
48,truck,1,929,339,90,134
48,car,0,737,336,74,71
48,car,1,1031,328,68,65
48,car,2,904,287,66,69
50,truck,0,1052,385,112,162
50,truck,1,929,341,90,135
50,car,0,736,338,74,71
50,car,1,1032,330,69,66
50,car,2,905,289,66,69
52,truck,0,1053,388,113,164
52,truck,1,930,343,91,136
52,car,0,735,340,75,71
52,car,1,1033,332,69,66
52,car,2,905,290,67,70
54,truck,0,1053,391,114,166
54,truck,1,931,345,91,137
54,car,0,734,341,75,72
54,car,1,1034,333,70,67
54,car,2,905,292,67,70
56,truck,0,1054,395,115,167
56,truck,1,931,347,92,138
56,car,0,733,343,76,72
56,car,1,1035,335,70,67
56,car,2,905,294,68,71
58,truck,0,1055,399,116,168
58,truck,1,932,349,92,139
58,car,0,733,345,76,72
58,car,1,1036,337,71,68
58,car,2,905,295,68,71
60,truck,0,1055,403,118,169
60,truck,1,932,350,93,140
60,car,0,732,347,76,73
60,car,1,1038,339,72,68
60,car,2,905,297,69,72
62,truck,0,1056,407,119,170
62,truck,1,933,352,93,141
62,car,0,731,348,76,74
62,car,1,1039,342,72,69
62,car,2,905,299,69,72
64,truck,0,1056,411,121,171
64,truck,1,934,354,94,142
64,car,0,730,350,77,74
64,car,1,1041,344,73,69
64,car,2,906,300,70,73
66,truck,0,1057,415,122,172
66,truck,1,934,356,94,142
66,car,0,729,352,77,75
66,car,1,1042,346,73,70
66,car,2,906,302,70,73
68,truck,0,1058,419,123,173
68,truck,1,935,359,95,143
68,car,0,728,354,77,76
68,car,1,1044,349,74,70
68,car,2,906,304,71,74
70,truck,0,1058,423,125,176
70,truck,1,936,361,96,144
70,car,0,727,356,77,76
70,car,1,1045,351,75,70
70,car,2,906,305,71,75
72,truck,0,1059,427,126,179
72,truck,1,937,364,97,145
72,car,0,726,357,77,77
72,car,1,1047,353,75,71
72,car,2,906,307,71,75
74,truck,0,1059,431,127,182
74,truck,1,937,366,97,146
74,car,0,725,359,77,78
74,car,1,1048,356,76,71
74,car,2,906,309,72,76
76,truck,0,1060,435,128,185
76,truck,1,938,369,98,147
76,car,0,725,361,77,78
76,car,1,1050,358,76,72
76,car,2,906,310,72,76
78,truck,0,1060,439,129,188
78,truck,1,939,371,99,148
78,car,0,724,363,78,79
78,car,1,1051,360,77,72
78,car,2,907,312,73,77
80,truck,0,1061,444,130,191
